อร-5,13,15,32,34   2,5,18,28,29     7,17,18,28,32
0-9,10,12,21,29    2,11,25,27,31    4,10,19,21,27
1-1,3,19,27,28     9,10,11,16,24    7,8,26,28,33
2-9,13,16,25,30    2,3,31,32,34     11,20,26,28,29
3-13,25,30,32,34   6,21,22,30,34    16,19,29,34,35
4-8,17,22,24,32    17,21,29,30,31   2,18,20,24,28
5-10,12,30,32,35   11,14,17,20,33   3,11,13,15,34
6-4,8,14,18,25     2,8,13,24,26     1,4,22,30,33
7-9,11,28,32,33    4,12,23,26,32    6,11,18,24,26
8-6,9,11,13,33     2,8,14,25,33     5,9,27,29,34
9-1,22,23,28,32    12,13,14,24,27   2,4,18,26,28
10-18,21,22,25,31  11,18,24,25,31   1,8,19,20,26
11-10,14,20,22,31  1,12,17,18,19    4,20,27,34,35
12-10,12,14,26,31  1,5,7,9,34       3,15,22,31,32
13-2,6,8,29,32     6,8,13,24,25     2,6,8,10,11
14-8,16,23,28,31   4,8,10,16,26     6,7,8,15,22
15-9,15,21,26,33   3,4,16,17,33     3,6,13,15,31
16-13,14,18,27,29  1,12,16,18,24    5,6,16,19,21
17-7,8,17,24,25    13,15,17,21,35   7,15,18,22,35
18-3,4,14,16,18    3,7,8,14,35      1,8,22,33,35
19-9,30,32,33,35   22,25,26,28,31   3,8,15,19,20
20-4,5,11,17,18    1,3,13,21,35     2,8,9,18,27
21-10,15,16,17,18  15,20,27,31,35   3,13,15,19,20
22-9,21,25,27,33   2,11,13,17,33    2,7,14,17,35
23-7,13,19,23,28   1,15,17,26,31    12,19,21,26,33
24-3,5,8,29,34     9,19,30,31,34    7,14,16,23,33
25-1,7,17,30,31    6,9,17,30,32     3,9,10,19,22
26-2,8,25,28,31    4,7,13,21,25     4,6,9,26,28
27-15,17,21,27,33  14,18,19,22,23   13,14,16,18,26
28-5,10,16,28,35   5,8,28,29,30     2,3,12,29,32
29-3,8,23,28,31    3,9,18,21,23     3,11,16,18,27
30-4,7,11,22,23    3,6,15,18,27     3,8,13,28,32
31-1,5,17,31,33    7,9,13,21,22     6,17,21,24,28
32-13,15,16,31,34  3,6,8,22,31      3,17,22,24,32
33-15,16,20,23,24  13,15,17,25,30   4,9,26,33,35
34-6,22,30,32,33   9,12,15,22,31    1,6,13,26,29
35-21,24,26,31,34  2,8,13,24,35     9,17,28,29,32
36-9,18,19,23,33   4,11,23,30,35    13,14,17,21,30
37-10,13,22,26,35  2,7,10,22,33     4,8,15,20,26
38-5,6,12,13,31    7,9,13,16,26     2,14,20,31,35
39-7,8,14,17,20    13,15,20,22,33   11,12,18,20,29
40-10,11,12,28,29  13,18,24,26,32   2,5,14,17,21
41-5,10,14,18,22   6,10,31,32,35    9,11,14,16,24
42-10,12,17,26,30  8,13,16,31,34    2,4,24,25,35
43-16,19,32,34,35  9,15,19,21,26    23,24,25,28,29
44-12,13,14,23,24  19,23,27,29,32   3,9,12,18,28
45-12,15,16,21,27  2,8,22,23,33     11,17,20,22,32
46-2,6,13,21,34    7,17,25,31,34    13,25,26,31,34
47-11,20,25,26,31  5,8,9,10,13      10,14,15,22,35
48-3,11,20,30,32   8,12,13,18,29    9,11,14,15,33
49-5,8,12,23,25    18,24,26,28,29   9,16,19,21,29
50-7,20,27,31,34   7,10,15,23,26    2,9,10,11,27
51-5,16,17,24,26   2,3,12,22,32     1,7,13,22,31
52-19,23,27,29,30  3,15,25,30,31    8,9,23,27,32
53-1,2,7,15,16     3,8,23,25,28     8,11,19,21,31
54-1,22,27,28,29   5,7,9,20,33      1,20,21,23,25
55-2,4,11,15,25    6,11,13,16,23    9,17,19,28,34
56-13,22,23,25,30  7,22,23,30,32    8,9,20,28,30
57-4,12,17,22,23   6,11,22,25,27    2,7,12,21,25
58-6,10,12,21,30   17,21,24,30,32   4,12,16,26,27
59-5,8,14,19,30    8,15,22,25,33    1,5,7,20,30
60-3,9,10,32,35    4,13,19,22,35    4,6,9,24,26
61-6,19,23,29,33   3,7,16,17,19     6,10,19,28,34
62-8,10,20,30,35   12,17,18,20,33   1,5,15,20,27
63-6,7,11,15,19    9,11,12,13,21    19,27,28,33,34
64-7,11,14,25,26   1,7,15,20,33     1,9,19,20,31
65-18,24,28,29,34  2,4,16,24,29     12,13,16,25,28
66-2,7,21,28,30    1,4,8,19,31      11,15,17,29,30
67-5,7,11,12,25    4,23,24,32,34    4,6,10,15,18
68-12,16,24,28,32  3,12,18,19,33    3,5,12,23,25
69-5,16,30,31,34   5,24,27,32,35    4,18,20,21,27
70-6,15,16,20,27   3,4,8,9,16       9,11,13,17,23
71-7,8,12,14,15    3,18,24,29,34    3,6,15,25,35
72-9,14,18,31,34   4,7,11,15,25     4,8,13,15,27
73-10,14,21,29,32  1,28,29,31,33    6,16,21,27,33
74-3,6,8,16,22     6,10,16,17,19    4,10,14,28,35
75-2,5,21,25,35    3,6,9,20,26      3,9,15,16,19
76-5,10,14,18,19   15,23,30,32,34   4,7,19,21,27
77-2,15,19,26,34   8,16,21,22,34    12,13,19,23,31
78-6,14,24,31,32   6,14,20,21,24    17,19,22,25,29
79-3,22,26,27,32   6,13,22,29,31    2,5,15,16,29
80-10,11,28,32,35  12,14,29,30,34   3,6,10,14,16
81-4,15,21,26,30   13,20,24,34,35   13,14,19,22,28
82-1,6,17,30,35    1,4,14,30,33     3,15,18,29,33
83-12,15,24,30,33  2,17,25,26,31    15,16,21,30,33
84-4,14,18,19,35   1,9,14,31,32     6,7,11,13,17
85-6,12,14,17,23   8,12,13,19,31    6,9,23,29,33
86-7,10,20,26,35   5,15,16,21,23    1,6,15,30,35
87-4,8,9,28,34     5,13,23,28,33    18,22,23,26,27
88-14,20,21,22,32  1,3,7,25,33      8,18,19,34,35
89-22,23,30,31,34  1,9,12,16,30     3,8,11,26,31
90-17,22,26,31,34  6,11,17,25,27    3,16,26,33,34
91-16,18,20,29,35  11,12,13,17,26   4,11,16,21,25
92-12,22,28,32,35  6,7,14,22,31     8,11,25,27,29
93-5,10,14,31,35   4,11,28,29,35    8,18,21,24,27
94-12,14,15,28,33  8,14,16,19,32    6,13,25,26,29
95-9,20,25,26,30   12,18,28,30,32   9,22,23,24,25
96-3,4,10,25,30    4,9,23,31,34     1,11,13,34,35
97-4,9,23,34,35    2,9,21,25,33     6,18,24,26,35
98-1,6,11,18,20    6,9,20,24,28     10,17,22,28,35
99-11,12,33,34,35  2,11,14,23,33    9,10,14,26,32
100-13,17,21,30,35 11,19,24,30,35   1,4,10,16,32
101-1,7,8,17,33    8,22,28,30,35    9,12,21,30,31
102-6,10,17,26,29  9,14,21,24,34    4,13,21,26,27
103-6,15,21,33,34  10,13,15,24,25   6,7,10,12,27
