
0- 11,20,25,28,30			10,18,19,23,33
1- 22,25,26,29,33			2,14,16,19,28
2-  3,21,26,30,35			8, 9,16,19,30
3-  9,11,15,26,29			5,13,22,24,33
4- 10,16,19,28,32			20,26,31,32,35
5-  3,13,16,23,31			16,17,18,21,33
6-  4,10,17,26,29			16,21,24,32,34
7-  1, 9,26,29,33			1,17,19,22,27
8-  1,16,28,33,34			12,13,14,21,32
9-  9,11,14,15,23			2, 8,11,19,25
10- 4, 7,19,29,32			8,14,26,31,32
11- 7,12,23,28,30			9,11,12,20,21
12- 2,16,21,29,35			1, 6,10,17,19
13- 5, 6, 9,27,31			1, 9,22,24,31
14- 6,10,13,17,32			6, 7,11,18,35
15- 5, 8,10,15,28			8, 9,13,29,35
16- 6,11,18,23,34			8, 9,11,12,33
17- 1, 3, 8,13,17			7, 8, 9,32,33
18- 1,18,21,26,29			15,19,23,27,35
19-11,20,25,29,33			15,22,23,27,34
20- 2, 5,17,20,23			2, 8, 9,13,30
21- 4, 9,11,12,21			3, 6,10,18,27
22- 2, 8,14,25,35			5,12,29,30,33
23- 3,12,16,26,34			11,16,18,28,30
24- 5,12,26,28,32			8, 9,13,14,19
25- 4, 5,14,29,33			5,16,18,26,28
26- 5, 6,28,29,33			1, 2,11,12,20
27- 1, 5,25,28,31			2, 4,14,17,25
28- 5,18,19,29,32			2, 9,13,14,25
29- 2,10,15,27,32			8,11,20,34,35
30- 7,11,15,18,27			1,13,17,20,32
31- 2,14,15,29,35			4,14,16,19,32
32- 5, 6,12,25,27			1,17,23,26,34
33- 6, 9,26,33,35			3,13,17,25,32
34- 5, 6, 8,14,18			6, 7,30,32,35
35- 4, 5, 8,23,30			9,10,22,23,34
36-13,19,21,27,29			5,16,22,31,33
37- 4, 7, 8,34,35			2, 9,13,15,35
38- 7,10,24,27,28			3, 4,12,13,30
39- 5, 7,25,29,32			3,10,22,31,34
40- 5,12,26,27,30			1, 3,15,25,28
41- 2, 6,16,18,34			8,17,23,24,29
42- 1, 3, 5, 6,20			8,21,26,31,35
43- 2,20,24,27,31			1, 7,16,19,21
44- 2,14,16,18,19			7, 8,21,22,32
45- 1, 4, 6,16,22			7,18,19,25,30
46- 6,16,24,25,27			2, 6, 8,11,16
47- 8, 9,11,19,27			7,14,16,18,24
48- 3, 9,14,23,31			2, 7,12,27,30
49-12,13,16,24,34			3, 4, 7,15,31
50- 3, 7,12,14,22			13,20,27,31,35
51- 5, 8,12,18,31			1,13,14,19,33
52- 2, 3,16,19,23			1,10,12,18,33
53- 4, 9,16,29,35			15,17,20,24,29
54- 2, 5,12,23,33			3, 9,13,15,27
55- 4,20,22,24,32			9,14,18,19,35
56- 3,14,18,28,33			1, 5,10,19,35
57- 2, 5,15,21,26			7,16,25,33,35
58- 8,15,23,24,25			1,10,25,34,35
59- 2,21,29,32,35			4,15,17,24,35
60- 5, 9,13,25,26			12,16,30,31,34
61- 2,11,15,21,35			9,13,14,29,30
62- 7,12,13,22,26			1, 5, 6,12,23
63- 3, 4, 7,15,30			1,11,12,13,30
64- 1, 4, 6,16,32			5,18,20,21,30
65- 1,14,15,24,35			13,15,26,30,34
66- 7,16,19,26,35			6,14,23,25,28
67- 1, 4,18,22,30			11,16,22,24,25
68- 1, 7,18,26,32			15,21,30,32,35
69- 1, 2,14,25,32			2, 6,20,26,35
70-11,27,29,34,35			6, 9,20,25,30
71- 9,19,25,26,32			3,10,14,28,32
72- 4, 5,23,27,30			3,10,15,18,23
73- 4,15,16,17,30			9,21,23,26,34
74- 4,21,26,27,31			2, 5, 8,12,17
75-10,12,15,16,20			4,23,28,33,35
76- 3, 4, 6,14,28			2, 7,10,19,27
77- 3, 9,11,17,31			20,22,27,29,32
78-11,14,20,28,33			9,15,17,26,29
79- 3, 4,13,14,23			11,15,19,22,25
80- 3, 7, 8,15,30			5, 8,19,25,30
81- 9,10,20,23,33			9,11,17,20,25
82- 1, 8, 9,15,18			6,16,17,18,30
83- 2,10,11,21,27			1, 8, 9,16,18
84- 5, 7, 8,12,29			4,10,14,15,30
85- 5,16,20,23,29			9,10,18,21,32
86- 2, 3,18,29,30			6,24,25,30,32
87- 1,11,17,25,30			5, 7,14,26,29
88- 7,12,18,23,35			5,11,17,20,32
89- 6,15,16,21,24			6,17,27,29,34
90- 4,12,24,32,33			4,11,13,14,34
91- 3,13,15,16,35			2,24,26,34,35
92- 2, 4,14,22,32			4,21,22,24,26
93-10,12,22,24,35			9,15,16,24,32
94-12,23,27,34,35			9,18,19,20,33
95- 1, 6, 7,14,32			3,14,16,19,28
96- 7,13,19,22,23			1, 7,14,17,23
97- 4, 6, 8,25,27			2, 3,20,25,32
98- 3, 8,19,21,31			3, 8,23,27,33
99- 2,20,27,29,31			7, 8, 9,28,33
100-13,14,16,26,28			3,13,14,32,34
101-23,26,32,34,35			17,18,25,26,32
102-19,20,23,27,35			6,12,15,22,27
103-14,16,21,24,26			16,25,26,27,34

