30,14,21,31,38,40,42    7,13,19,20,36,38
31,1,19,20,24,37,40     10,14,16,19,27,33
32,5,16,23,31,32,37     2,3,4,9,21,28
33,4,5,23,28,30,32      6,12,26,29,35,41
34,1,20,25,35,36,39     1,4,9,13,20,29
35,2,11,24,28,33,34     1,8,23,30,31,37
36,3,15,26,31,35,39     3,14,16,20,28,37
37,7,9,18,22,25,28      1,25,35,36,37,41
38,3,15,19,20,24,35     4,15,16,27,34,39
39,1,12,19,22,28,41     3,9,29,30,32,33
40,3,5,6,12,13,21       2,12,18,23,24,25
41,17,19,20,21,24,25    2,16,19,24,28,30
42,9,14,19,24,28,33     2,18,28,33,40,42
43,9,10,16,31,40,42     1,15,23,33,41,42
44,6,7,12,25,33,41      1,3,16,30,34,41
45,8,11,21,23,33,39     4,11,13,21,32,33
46,1,6,7,19,29,42       9,25,27,34,36,37
47,5,7,20,23,32,38      2,11,36,38,40,42
48,7,11,18,32,36,37     5,10,11,16,24,31
49,6,24,26,34,35,40     1,16,22,27,32,41
50,2,33,35,37,38,42     4,8,14,27,29,34
51,1,2,13,21,33,40      3,11,16,20,30,36
52,1,11,15,22,28,40     5,12,26,31,38,41
