  1-6,8,18,24,31,37       10,19,24,33,34,38     1,7,16,17,27,39
  2-4,12,18,21,23,25      1,12,14,19,23,24      5,16,23,35,38,41
  3-5,9,12,19,29,30       5,9,20,24,30,35       14,20,24,32,38,41
  4-10,12,15,23,30,36     8,16,18,20,39,40      8,10,11,14,22,32
  5-2,27,31,33,37,38      5,11,17,21,25,30      5,8,10,13,26,33
  5-3,13,17,32,38,40      1,16,32,36,37,39      6,7,31,37,38,42
  7-1,7,18,19,23,39       1,5,7,15,33,38        15,28,32,35,36,39
  8-3,13,17,19,24,39      5,11,26,36,38,40      2,6,19,35,37,41
  9-3,18,21,31,33,40      10,20,22,32,33,34     13,19,23,28,40,41
 10-2,14,22,33,35,42      4,6,13,22,33,35       6,13,17,28,34,36
 11-5,19,20,26,41,42      2,11,20,24,30,39      1,3,6,26,36,38
 12-6,14,21,22,27,41      8,11,16,29,30,39      4,5,10,20,32,35
 13-3,8,22,29,31,39       9,16,17,18,27,38      3,8,9,17,18,19
 14-18,20,24,29,30,36     5,14,16,18,22,25      1,2,7,13,31,32
 15-1,3,8,17,21,23        4,12,14,19,23,25      16,27,31,32,38,40
 16-3,6,8,18,30,39        13,16,19,25,16,33     11,12,27,29,30,41
 17-1,2,5,9,34,36         19,20,24,32,33,39     1,3,4,8,17,25
 18-6,8,14,33,34,42       20,30,33,36,38,41     7,8,14,33,38,42
 19-10,12,15,26,27,32     4,10,15,30,31,35      4,9,10,14,36,40
 20-3,16,17,18,26,33      19,24,25,28,39,42     17,18,21,22,31,32
 21-7,12,27,31,33,38      1,5,6,7,11,13         16,26,27,28,29,41
 22-15,16,18,20,21,35     4,6,10,13,22,32       6,14,19,25,27,42
 23-2,4,16,34,36,39       8,15,17,24,29,38      4,8,10,11,15,17
 24-2,4,7,13,26,40        2,8,31,32,35,41       15,16,19,23,24,30
 25-11,12,14,26,30,38     4,5,17,23,25,39       8,10,14,23,30,35
 26-3,7,8,11,19,33        2,17,19,25,30,31      8,13,15,27,30,35
 27-4,5,9,11,13,27        14,23,29,30,34,38     25,26,30,31,34,39
 28-12,14,16,27,37,42     11,13,15,16,21,35     7,12,19,27,33,37
 29-19,21,23,26,39,42     11,12,31,33,35,40     6,7,8,14,20,39
 30-5,7,18,24,38,39       2,4,5,28,35,36        20,24,26,30,34,40
 31-2,7,15,22,24,35       1,4,15,29,32,34       2,12,26,31,35,41
 32-1,4,11,13,14,18       2,5,10,12,16,40       5,18,19,25,26,30
 33-9,15,20,27,35,36      10,20,26,34,40,42     3,19,22,25,33,36
 34-2,11,25,27,37,38      7,25,30,33,36,42      9,15,19,33,34,35
 35-6,18,19,20,36,39      3,6,14,16,20,38       19,22,25,26,27,33
 36-2,7,21,22,39,40       6,7,13,14,17,35       11,15,17,28,32,42
