
1-11,15,25,26,28,31		6,16,19,20,34,36		9,12,28,35,38,39
2-1,11,12,33,37,38		12,14,17,26,30,38		9,10,15,19,34,42
3-3,17,19,23,29,32		2,15,16,22,30,33		7,11,18,19,31,34
4-11,14,26,29,34,41		1, 6,12,18,23,26		13,15,18,31,32,42
5-3,16,34,36,37,39		5,15,22,30,32,33		1, 7,13,27,29,42
6-5,26,31,34,38,41		5,17,19,28,29,38		3,17,18,26,32,40
7-15,20,22,26,32,36		3,11,28,31,36,38		4, 7,15,17,23,37
8-11,30,31,34,35,41		12,15,22,30,32,36		1, 5,23,30,34,38
9-8, 9,21,24,31,42		2, 7,15,19,27,34		3, 4,12,27,31,42
10-1, 3, 4, 5,11,29		10,12,14,17,20,41		11,22,23,30,34,41
11-2, 5,25,30,37,40		5, 6,10,13,38,40		1, 5,13,32,35,40
12-12,15,29,30,33,38		7,25,28,31,35,42		2,18,23,26,36,39
13-10,18,19,23,31,38		6,19,21,23,29,41		6,10,11,14,31,42
14-2, 5, 8,25,29,36		2, 5, 9,10,26,27		14,17,24,29,32,42
15-13,17,18,37,40,42		6,11,12,18,19,32		11,16,21,24,40,41
16-4,15,29,31,35,36		11,12,22,32,33,37		1, 6,12,21,39,40
17-6,10,20,34,36,39		13,16,20,31,33,36		7, 9,11,27,38,41
18-6, 7,16,19,25,31		14,19,21,22,28,34		8,34,37,38,39,40
19-1, 7,24,27,37,40		2,14,15,20,26,37		5, 6,16,27,31,32
20-9,12,14,27,34,41		4, 8,16,23,27,40		4,12,19,24,37,39
21-3,13,15,25,31,33		4, 8,13,25,36,42		2, 8,10,18,28,34
22-4, 7,10,14,26,42		5,13,31,32,36,37		5, 9,19,20,25,29
23-7,10,12,22,34,37		2, 6,24,25,31,40		2, 5,24,26,27,33
24-2, 6,10,11,18,19		6, 9,24,35,36,41		12,21,26,30,32,37
25-2, 9,12,20,25,27		2,25,29,35,37,38		3, 9,28,29,38,42
26-4, 5, 6, 7,40,42		12,16,20,22,24,34		8,18,24,26,27,28
27-19,21,22,31,32,36		8,22,27,32,37,39		2, 3, 4,12,17,31
28-6,12,13,21,35,42		5, 8,10,18,21,37		5, 6,10,12,20,41
29-2,13,14,27,28,40		6,10,14,24,31,37		1, 9,10,30,34,39
30-9,17,21,28,36,38		2, 9,15,18,23,25		1,18,25,28,29,36
31-6, 7,10,25,27,33		8,13,27,33,35,41		1,11,13,23,34,40
32-3, 9,26,27,36,37		2, 4, 5,19,36,40		3, 9,14,32,34,39
33-1, 4, 6, 9,12,39 		5,11,16,24,39,42		10,12,22,23,27,40
34-11,17,18,20,38,42		1, 5, 7,19,21,29		8,26,29,35,36,40
35-5,15,20,21,38,40		5, 6,19,38,39,41		20,25,36,38,39,41
36-5,15,23,30,35,39		14,26,28,29,30,33		10,16,25,28,37,40
37-10,12,15,23,30,36		6, 9,25,35,37,38		1, 7, 9,20,29,41
38-14,24,25,32,39,41		16,26,28,36,41,42		23,30,32,35,39,40
39-5, 9,16,20,36,42		7,11,12,19,23,41		1,20,25,26,29,36
40-1,10,12,28,30,37		2, 9,24,30,35,39		1, 8,18,19,34,41
41-1, 7,10,19,31,33		2,10,19,24,27,42		3,14,17,18,34,37
42-1,16,22,23,28,38		10,12,18,23,38,41		4, 5,11,31,34,35
43-16,25,26,30,35,41		18,26,36,39,40,41		2,11,22,23,28,30
44-18,23,25,28,35,37		3, 9,11,13,27,29		15,20,22,23,30,42
45-4, 5,20,26,37,42		6,14,17,23,32,34		14,15,21,23,29,34
46-10,14,18,34,38,41		6, 7,14,15,19,30		5,15,18,25,38,40
47-16,22,25,28,30,42		8,12,15,16,32,42		16,23,28,35,37,40
