
 0- 6,11,21,23,26,31
 1-13,14,24,29,40,42
 2- 5,11,15,18,27,40
 3- 4, 7, 9,13,17,38
 4- 6, 9,12,16,31,35
 5- 5, 8,17,32,35,37
 6- 1, 5, 8,28,32,36
 7- 3, 8,11,25,27,37
 8- 1, 3, 7,16,20,23
 9-11,19,23,29,30,35
10- 1, 4,11,14,29,35
11- 3, 9,24,32,41,42
12- 4, 6,12,24,31,40
13- 4,14,16,21,29,31
14- 7, 9,11,12,23,33
15-11,16,19,22,28,31
16-13,16,20,24,28,35
17- 8,12,27,30,35,37
18- 3, 4,18,25,38,40
19- 7,10,12,16,39,41
20- 6,29,31,32,34,35
21- 8,13,15,22,28,32
22- 3, 8,28,29,40,42
23- 5,10,13,18,38,39
24-16,18,24,29,30,32
25- 2, 4, 6,13,15,29
26- 2, 3,19,23,31,41
27- 5,20,25,30,32,42
28- 3,18,24,27,35,36
29- 1, 4, 6,11,28,34
30- 1,12,28,33,34,38
31- 6,13,21,31,39,40
32- 4, 7,13,18,19,33
33- 1,14,19,25,32,37
34-14,16,17,18,24,40
35-13,23,24,32,39,41
36- 4, 5,13,19,29,34
37- 6,16,21,24,31,36
38- 1, 9,14,26,28,33
39- 1,11,12,26,30,35
40- 1,18,23,25,27,42
41- 4,11,15,21,37,38
42- 7,11,13,14,28,37
43- 9,13,21,35,38,42
44- 7,13,21,24,27,33
45-15,18,27,30,32,38
46- 4, 9,19,35,36,42
47- 1, 5, 8,28,30,39
48- 7,25,26,37,38,39
49- 2, 4, 5,13,22,24
50- 4, 9,15,17,25,28
51- 2,26,28,29,30,31
52- 7, 8,24,33,34,39
53-14,16,20,27,34,37
54-17,20,26,33,34,40
55- 3, 9,17,27,34,38
56- 4, 8,19,20,22,41
57- 2, 8,10,14,17,40
58- 4, 9,12,39,40,42
59-16,17,18,21,26,27
60- 3, 4, 6,18,19,36
61-18,21,24,25,27,42
62- 8,10,12,19,26,36
63- 3, 4, 5,10,25,30
64- 5,19,25,26,35,41
65-14,18,25,26,33,35
66- 5,15,16,21,31,33
67- 9,19,23,24,36,38
68-14,17,27,29,36,39
69- 1,23,25,31,34,37
70- 4, 8,21,29,37,40
71- 8,13,25,30,33,40
72-10,12,14,24,29,34
73- 6,10,18,37,38,42
74- 5,10,24,27,29,32
75- 3, 8,13,15,28,30
76- 7, 8,11,21,41,42
77-15,24,31,32,41,42
78-12,13,21,34,36,37
79-14,16,22,31,32,42
80- 5,14,25,31,37,40
81- 3,13,20,24,34,41
82- 1, 2, 3, 7,12,20
83- 9,19,28,30,35,38
84- 1, 9,12,13,14,19
85- 1, 7,15,27,32,33
86- 5,12,17,18,35,38
87- 1,19,23,36,38,39
88- 2,18,19,20,28,35
89- 5, 8,11,31,34,41
90- 9,10,14,16,20,29
91- 8,10,21,26,32,35
92- 4, 7,11,22,32,39
93- 2, 4,14,21,25,41
94- 2,11,19,22,34,36
95- 1, 2,12,13,17,32
96- 3,18,20,29,35,39
97- 8,28,31,35,41,42
98- 7,12,18,31,34,42
99- 5, 9,10,24,34,35
100-4, 5, 7,14,34,40
101-5,22,33,36,39,40
102-7,12,24,31,38,40
103-5, 7, 8,10,14,25

